"station","layer","latitude","longitude","cbSeg92","state","stationGrpName","parmName","gamName","gamOption","periodName","seasonName","gamDiff.bl.mn.obs","gamDiff.cr.mn.obs","gamDiff.abs.chg.obs","gamDiff.pct.chg","gamDiff.chg.pval","dep","mapLayer"
"CB1.1","Surface",39.54794,-76.08481,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Chlorophyll a (Corrected) [ug/L]","Non-Linear Trend with Flow Adjustment",4,"2014/15-2022/23","Annual",4.772815803,3.278101899,-1.494713904,-31.31723422,0.007678693,"chla","CHLA|Surface|Annual"
"CB1.1","Surface",39.54794,-76.08481,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Chlorophyll a (Corrected) [ug/L]","Non-Linear Trend with Flow Adjustment",4,"2014/15-2022/23","Mar-May",6.525921195,4.634931076,-1.890990119,-28.97660058,0.015809737,"chla","CHLA|Surface|Mar-May"
"CB1.1","Surface",39.54794,-76.08481,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Chlorophyll a (Corrected) [ug/L]","Non-Linear Trend with Flow Adjustment",4,"2014/15-2022/23","Jul-Sep",8.026052685,5.300816528,-2.725236156,-33.954875,0.005190925,"chla","CHLA|Surface|Jul-Sep"
"CB2.1","Surface",39.44149,-76.02599,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Chlorophyll a (Corrected) [ug/L]","Non-Linear Trend with Flow Adjustment",4,"2014/15-2022/23","Annual",5.641415831,5.1860054,-0.45541043,-8.072626517,0.629262883,"chla","CHLA|Surface|Annual"
"CB2.1","Surface",39.44149,-76.02599,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Chlorophyll a (Corrected) [ug/L]","Non-Linear Trend with Flow Adjustment",4,"2014/15-2022/23","Mar-May",6.745907948,5.641412437,-1.104495511,-16.37282216,0.295384322,"chla","CHLA|Surface|Mar-May"
"CB2.1","Surface",39.44149,-76.02599,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Chlorophyll a (Corrected) [ug/L]","Non-Linear Trend with Flow Adjustment",4,"2014/15-2022/23","Jul-Sep",9.139821669,8.782822093,-0.356999577,-3.905979676,0.827535887,"chla","CHLA|Surface|Jul-Sep"
"CB2.2","Surface",39.34873,-76.17579,"CB2OH","MD","Chesapeake Bay Mainstem (CB2OH)","Chlorophyll a (Corrected) [ug/L]","Non-Linear Trend with Flow Adjustment",4,"2014/15-2022/23","Annual",5.718655345,5.711666918,-0.006988427,-0.122204017,0.993169166,"chla","CHLA|Surface|Annual"
"CB2.2","Surface",39.34873,-76.17579,"CB2OH","MD","Chesapeake Bay Mainstem (CB2OH)","Chlorophyll a (Corrected) [ug/L]","Non-Linear Trend with Flow Adjustment",4,"2014/15-2022/23","Mar-May",8.235899334,7.294211574,-0.941687759,-11.43393965,0.496180614,"chla","CHLA|Surface|Mar-May"
"CB2.2","Surface",39.34873,-76.17579,"CB2OH","MD","Chesapeake Bay Mainstem (CB2OH)","Chlorophyll a (Corrected) [ug/L]","Non-Linear Trend with Flow Adjustment",4,"2014/15-2022/23","Jul-Sep",7.221876264,8.815895568,1.594019304,22.07209381,0.241218886,"chla","CHLA|Surface|Jul-Sep"
"CB3.1","Surface",39.2495,-76.2405,"CB2OH","MD","Chesapeake Bay Mainstem (CB2OH)","Chlorophyll a (Corrected) [ug/L]","Non-Linear Trend with Flow Adjustment",4,"2014/15-2022/23","Annual",8.891039303,7.360950519,-1.530088784,-17.20933551,0.241075594,"chla","CHLA|Surface|Annual"
