"station","dep","layer","latitude","longitude","cbSeg92","state","stationGrpName","parmName","numObservations","yearRng","yearBegin","yearEnd","numYrs","yearRangeDropped","fracLT","fracUnc","fracInt","fracRecen","recensor","depGAM","logTrans","gamOption","gamName","gamSelect","hydroTermSel","hydroTermSel.var","usgsGageID","usgsGageName","mgcvOK","interB.label","interC.label","interD.label","interE.label","edfMin","edfMinSource","FstatFlag","sa.sig.inc","sa.sig.dec","aic","rmse","adjR2","periodName","seasonName","periodStart","periodEnd","seasonMonths","gamDiff.diffType","gamDiff.bl.mn","gamDiff.cr.mn","gamDiff.bl.mn.obs","gamDiff.cr.mn.obs","gamDiff.abs.chg","gamDiff.abs.chg.obs","gamDiff.pct.chg","gamDiff.diff.se","gamDiff.chg.pval","mapLayer"
"CB1.1","po4","Bottom",39.54794,-76.08481,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Orthophosphorus [mg/L]",557,"1985-2020",1985,2020,36,"NA-NA",0.003590664,0.994614004,0.001795332,0,0.000175,"lnpo4",TRUE,2,"2-Non-linear trend with Seas+Int",FALSE,NA,NA,NA,"",TRUE,NA,NA,NA,NA,1,"cyear","","12/1987-02/1988 05/1988-11/1988 12/1988-01/1989 12/1997-02/1998 03/1998-06/1999 09/1999-10/1999 09/2002-10/2002 12/2002-01/2003 05/2016-06/2016 09/2016-10/2016 12/2016-01/2017","11/1985-12/1985 02/1986-08/1986 11/1986-12/1986 03/1990-09/1990 10/1990-12/1990 01/1991-05/1991 07/2004-08/2004 10/2004-12/2004 02/2005-04/2005 03/2019-04/2019 07/2019-08/2019",1155.61,0.6643,0.2256,"1999/00-2019/20","Annual","1999 2000","2019 2020","1 2 3 4 5 6 7 8 9 10 11 12","regular",-4.840254824,-4.966187018,0.007905039,0.006969673,-0.125932194,-0.000935367,-11.83253724,0.166252305,0.449085409,"PO4|Bottom|Annual"
"CB1.1","po4","Surface",39.54794,-76.08481,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Orthophosphorus [mg/L]",558,"1985-2020",1985,2020,36,"NA-NA",0.005376344,0.994623656,0,0,0.00015,"lnpo4",TRUE,2,"2-Non-linear trend with Seas+Int",FALSE,NA,NA,NA,"",TRUE,NA,NA,NA,NA,1,"cyear","","09/1987-01/1989 01/1998-01/1998 04/1998-02/1999 04/2002-01/2003","11/1985-09/1986 11/1986-11/1986 01/1990-12/1990 01/1991-04/1991 02/1994-04/1994 07/2000-08/2000 02/2004-04/2005 02/2019-04/2019",1184.41,0.6798,0.2463,"1999/00-2019/20","Annual","1999 2000","2019 2020","1 2 3 4 5 6 7 8 9 10 11 12","regular",-4.881791552,-5.012380525,0.007583416,0.006655042,-0.130588973,-0.000928374,-12.24215912,0.171489831,0.446682621,"PO4|Surface|Annual"
"CB2.1","po4","Bottom",39.44149,-76.02599,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Orthophosphorus [mg/L]",565,"1985-2020",1985,2020,36,"NA-NA",0,1,0,0,5e-04,"lnpo4",TRUE,2,"2-Non-linear trend with Seas+Int",TRUE,NA,NA,NA,"",TRUE,NA,NA,NA,NA,1,"cyear","","10/1987-10/1987 04/1991-11/1991 12/1991-07/1992 04/1997-06/1999 04/2005-07/2005 08/2005-10/2005 05/2014-06/2014 04/2015-07/2015 10/2015-10/2015","12/1985-04/1986 07/1986-07/1986 07/1989-03/1990 11/1993-01/1994 03/1994-03/1994 11/1994-01/1995 11/1995-01/1996 02/1996-03/1996 11/2000-01/2001 12/2002-12/2002 11/2003-01/2004 11/2010-03/2011 11/2017-03/2018",1086.56,0.6171,0.3289,"1999/00-2019/20","Annual","1999 2000","2019 2020","1 2 3 4 5 6 7 8 9 10 11 12","regular",-4.23600296,-4.597918761,0.014465295,0.010072778,-0.361915801,-0.004392517,-30.36590033,0.151953879,0.017561353,"PO4|Bottom|Annual"
"CB2.1","po4","Surface",39.44149,-76.02599,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Orthophosphorus [mg/L]",565,"1985-2020",1985,2020,36,"NA-NA",0,1,0,0,4e-04,"lnpo4",TRUE,2,"2-Non-linear trend with Seas+Int",TRUE,NA,NA,NA,"",TRUE,NA,NA,NA,NA,1,"cyear","","10/1990-10/1990 09/1991-10/1991 10/1995-10/1995 05/1996-06/1996 09/1996-10/1996 05/1997-06/1997 09/1997-10/1997 05/1998-07/1998 08/1998-10/1998 05/1999-07/1999 09/1999-10/1999 05/2000-07/2000 09/2000-10/2000 05/2001-06/2001 09/2001-10/2001 05/2002-06/2002 09/2002-10/2002 05/2003-06/2003 10/2003-10/2003 05/2004-06/2004 10/2004-10/2004 05/2005-06/2005 05/2006-06/2006 05/2012-06/2012 05/2013-06/2013 05/2014-06/2014 05/2015-06/2015 10/2015-10/2015 05/2016-06/2016 10/2016-10/2016 05/2017-06/2017 10/2017-10/2017 05/2018-06/2018 05/2019-06/2019 05/2020-06/2020","11/1985-12/1985 12/1986-12/1986 11/1987-12/1987 11/1988-12/1988 11/1989-12/1989 11/1990-12/1990 11/1991-12/1991 11/1992-12/1992 11/1993-12/1993 11/1994-12/1994 11/1995-12/1995 11/1996-12/1996 12/1997-12/1997 12/1999-12/1999 12/2000-12/2000 12/2001-12/2001 11/2002-12/2002 12/2003-12/2003 03/2004-03/2004 11/2004-12/2004 02/2005-03/2005 11/2005-01/2006 02/2006-03/2006 11/2006-03/2007 11/2007-03/2008 11/2008-04/2009 08/2009-08/2009 11/2009-04/2010 08/2010-08/2010 11/2010-04/2011 08/2011-08/2011 11/2011-03/2012 11/2012-03/2013 11/2013-03/2014 12/2014-03/2015 12/2015-03/2016 01/2017-03/2017 02/2018-03/2018 03/2019-03/2019 02/2020-03/2020",1160.49,0.666,0.2258,"1999/00-2019/20","Annual","1999 2000","2019 2020","1 2 3 4 5 6 7 8 9 10 11 12","regular",-4.639968554,-4.836111397,0.009658001,0.007937861,-0.196142843,-0.00172014,-17.81051753,0.122204189,0.109044341,"PO4|Surface|Annual"
"CB2.2","po4","Bottom",39.34873,-76.17579,"CB2OH","MD","Chesapeake Bay Mainstem (CB2OH)","Orthophosphorus [mg/L]",571,"1985-2020",1985,2020,36,"NA-NA",0,1,0,0,0.00065,"lnpo4",TRUE,2,"2-Non-linear trend with Seas+Int",TRUE,NA,NA,NA,"",TRUE,NA,NA,NA,NA,1,"cyear","","07/1987-07/1987 05/1988-07/1988 05/1989-07/1989 05/1990-07/1990 04/1991-07/1991 10/1991-10/1991 04/1992-08/1992 10/1992-10/1992 04/1993-08/1993 10/1993-11/1993 04/1994-08/1994 10/1994-10/1994 04/1995-08/1995 10/1995-11/1995 04/1996-08/1996 10/1996-11/1996 03/1997-08/1997 10/1997-11/1997 04/1998-08/1998 10/1998-11/1998 03/1999-08/1999 10/1999-11/1999 04/2000-08/2000 10/2000-11/2000 03/2001-08/2001 10/2001-11/2001 04/2002-08/2002 10/2002-10/2002 04/2003-08/2003 10/2003-11/2003 04/2004-08/2004 10/2004-10/2004 04/2005-08/2005 11/2005-11/2005 04/2006-08/2006 10/2006-10/2006 04/2007-08/2007 11/2007-11/2007 04/2008-08/2008 04/2009-08/2009 04/2010-08/2010 04/2011-08/2011 04/2012-08/2012 04/2013-08/2","11/1985-12/1985 02/1986-02/1986 08/1986-10/1986 11/1986-01/1987 01/1987-03/1987 08/1987-10/1987 11/1987-12/1987 01/1988-03/1988 08/1988-10/1988 11/1988-12/1988 01/1989-03/1989 08/1989-10/1989 11/1989-12/1989 01/1990-02/1990 08/1990-10/1990 11/1990-12/1990 01/1991-03/1991 08/1991-10/1991 11/1991-12/1991 01/1992-02/1992 09/1992-10/1992 11/1992-12/1992 09/1993-10/1993 11/1993-12/1993 09/1994-10/1994 11/1994-12/1994 09/1995-10/1995 11/1995-12/1995 08/1996-09/1996 11/1996-12/1996 09/1997-10/1997 11/1997-12/1997 08/1998-09/1998 11/1998-12/1998 09/1999-10/1999 11/1999-12/1999 09/2000-09/2000 11/2000-12/2000 09/2001-10/2001 11/2001-12/2001 08/2002-10/2002 11/2002-12/2002 09/2003-10/2003 11/2003-12/2",774.94,0.47,0.5353,"1999/00-2019/20","Annual","1999 2000","2019 2020","1 2 3 4 5 6 7 8 9 10 11 12","regular",-4.304428619,-4.36922811,0.013508602,0.01266101,-0.064799491,-0.000847592,-6.274462734,0.080894307,0.423442866,"PO4|Bottom|Annual"
"CB2.2","po4","Surface",39.34873,-76.17579,"CB2OH","MD","Chesapeake Bay Mainstem (CB2OH)","Orthophosphorus [mg/L]",571,"1985-2020",1985,2020,36,"NA-NA",0,1,0,0,0.0008125,"lnpo4",TRUE,2,"2-Non-linear trend with Seas+Int",TRUE,NA,NA,NA,"",TRUE,NA,NA,NA,NA,1,"cyear","","05/1993-06/1993 01/1998-01/1998 03/1998-11/1999 12/1999-02/2000 03/2000-08/2000 05/2006-08/2006 10/2006-10/2006 04/2007-08/2007 10/2007-11/2007 04/2008-07/2008 05/2012-07/2012 05/2013-07/2013","11/1985-12/1985 08/1986-10/1986 11/1986-12/1986 02/1987-02/1987 12/1987-12/1987 12/1990-12/1990 11/1991-12/1991 09/1995-10/1995 11/1995-12/1995 02/1996-04/1996 08/1996-09/1996 11/1996-12/1996 12/2001-12/2001 09/2002-09/2002 11/2002-04/2003 08/2003-04/2004 08/2004-10/2004 11/2004-12/2004 02/2005-02/2005 11/2009-12/2009 02/2010-03/2010 08/2010-10/2010 11/2010-12/2010 01/2011-03/2011 11/2011-12/2011 11/2014-12/2014 11/2015-12/2015 11/2016-12/2016 09/2017-09/2017 11/2017-12/2017 02/2018-02/2018 09/2018-09/2018 11/2018-12/2018",893.43,0.5174,0.4017,"1999/00-2019/20","Annual","1999 2000","2019 2020","1 2 3 4 5 6 7 8 9 10 11 12","regular",-4.186008962,-4.409208943,0.015206855,0.012164798,-0.22319998,-0.003042057,-20.0045142,0.120076452,0.063568466,"PO4|Surface|Annual"
"CB3.1","po4","Bottom",39.2495,-76.2405,"CB2OH","MD","Chesapeake Bay Mainstem (CB2OH)","Orthophosphorus [mg/L]",574,"1985-2020",1985,2020,36,"NA-NA",0,0.996515679,0.003484321,0,0.000425,"lnpo4",TRUE,2,"2-Non-linear trend with Seas+Int",FALSE,NA,NA,NA,"",TRUE,NA,NA,NA,NA,0.03,"s(cyear)","*","11/1985-11/1985 04/1986-08/1986 10/1986-11/1986 05/1987-07/1987 10/1987-11/1987 04/1988-08/1988 10/1988-11/1988 04/1989-07/1989 10/1989-11/1989 04/1990-08/1990 10/1990-11/1990 03/1991-07/1991 10/1991-11/1991 03/1992-07/1992 10/1992-11/1992 03/1993-07/1993 10/1993-11/1993 03/1994-07/1994 10/1994-11/1994 03/1995-07/1995 10/1995-11/1995 03/1996-07/1996 10/1996-11/1996 03/1997-07/1997 10/1997-11/1997 03/1998-07/1998 10/1998-11/1998 03/1999-07/1999 10/1999-11/1999 03/2000-07/2000 10/2000-11/2000 03/2001-07/2001 10/2001-11/2001 03/2002-07/2002 10/2002-11/2002 03/2003-07/2003 10/2003-11/2003 03/2004-07/2004 10/2004-11/2004 03/2005-07/2005 10/2005-11/2005 03/2006-07/2006 10/2006-11/2006 03/2007-07/2","12/1985-02/1986 09/1986-09/1986 12/1986-02/1987 09/1987-09/1987 12/1987-02/1988 09/1988-09/1988 12/1988-02/1989 08/1989-09/1989 12/1989-02/1990 09/1990-09/1990 12/1990-02/1991 08/1991-09/1991 12/1991-02/1992 09/1992-10/1992 12/1992-02/1993 08/1993-09/1993 12/1993-02/1994 08/1994-10/1994 12/1994-02/1995 08/1995-09/1995 12/1995-02/1996 08/1996-09/1996 12/1996-02/1997 08/1997-10/1997 12/1997-02/1998 08/1998-09/1998 12/1998-02/1999 08/1999-10/1999 12/1999-02/2000 08/2000-09/2000 12/2000-02/2001 08/2001-10/2001 12/2001-02/2002 08/2002-10/2002 12/2002-02/2003 08/2003-10/2003 12/2003-02/2004 08/2004-10/2004 12/2004-02/2005 08/2005-10/2005 12/2005-02/2006 08/2006-10/2006 12/2006-02/2007 08/2007-10/2",943.78,0.5429,0.6086,"1999/00-2019/20","Annual","1999 2000","2019 2020","1 2 3 4 5 6 7 8 9 10 11 12","regular",-4.447550195,-4.368174121,0.011707212,0.012674361,0.079376074,0.000967149,8.261138763,0.047582474,0.095826562,"PO4|Bottom|Annual"
"CB3.1","po4","Surface",39.2495,-76.2405,"CB2OH","MD","Chesapeake Bay Mainstem (CB2OH)","Orthophosphorus [mg/L]",574,"1985-2020",1985,2020,36,"NA-NA",0,1,0,0,0.000175,"lnpo4",TRUE,2,"2-Non-linear trend with Seas+Int",TRUE,NA,NA,NA,"",TRUE,NA,NA,NA,NA,1,"cyear","","10/1987-11/1987 06/1988-07/1988 10/1988-11/1988 06/1989-07/1989 10/1989-11/1989 06/1990-06/1990 07/1990-07/1990 10/1990-11/1990 05/1991-07/1991 10/1991-11/1991 05/1992-07/1992 10/1992-11/1992 05/1993-07/1993 10/1993-11/1993 05/1994-07/1994 10/1994-11/1994 04/1995-07/1995 10/1995-11/1995 04/1996-08/1996 10/1996-11/1996 03/1997-08/1997 10/1997-11/1997 03/1998-08/1998 10/1998-11/1998 03/1999-08/1999 10/1999-11/1999 04/2000-07/2000 10/2000-11/2000 04/2001-07/2001 10/2001-11/2001 04/2002-07/2002 10/2002-11/2002 04/2003-07/2003 11/2003-11/2003 05/2004-07/2004 05/2005-07/2005 05/2006-07/2006 05/2007-07/2007 11/2007-11/2007 04/2008-07/2008 10/2008-11/2008 04/2009-08/2009 10/2009-11/2009 04/2010-08/2","01/1986-02/1986 09/1986-09/1986 01/1987-02/1987 09/1987-09/1987 12/1987-02/1988 09/1988-09/1988 01/1989-02/1989 09/1989-09/1989 12/1989-02/1990 09/1990-10/1990 12/1990-03/1991 08/1991-09/1991 12/1991-02/1992 09/1992-10/1992 01/1993-02/1993 09/1993-09/1993 01/1994-02/1994 09/1994-10/1994 01/1995-02/1995 09/1995-09/1995 01/1996-02/1996 09/1996-09/1996 09/1997-09/1997 09/1998-09/1998 09/1999-09/1999 01/2000-02/2000 09/2000-09/2000 01/2001-01/2001 09/2001-10/2001 01/2002-02/2002 08/2002-09/2002 12/2002-02/2003 09/2003-10/2003 12/2003-03/2004 08/2004-10/2004 12/2004-02/2005 09/2005-10/2005 12/2005-03/2006 08/2006-10/2006 12/2006-02/2007 09/2007-10/2007 12/2007-03/2008 09/2008-09/2008 12/2008-02/2",1007.85,0.5721,0.4633,"1999/00-2019/20","Annual","1999 2000","2019 2020","1 2 3 4 5 6 7 8 9 10 11 12","regular",-4.355434223,-4.468521326,0.012836864,0.011464255,-0.113087103,-0.001372609,-10.69271323,0.111547951,0.31110698,"PO4|Surface|Annual"
"CB3.2","po4","Bottom",39.16369,-76.30631,"CB3MH","MD","Chesapeake Bay Mainstem (CB3MH)","Orthophosphorus [mg/L]",578,"1985-2020",1985,2020,36,"NA-NA",0,1,0,0,6e-04,"lnpo4",TRUE,2,"2-Non-linear trend with Seas+Int",TRUE,NA,NA,NA,"",TRUE,NA,NA,NA,NA,1,"cyear","","03/1988-08/1988 10/1988-11/1988 03/1989-05/1989 05/1992-07/1992 10/1992-11/1992 02/1993-07/1993 10/1993-11/1993 10/1995-11/1995 03/1996-07/1996 10/1996-11/1996 04/2001-06/2001 10/2001-11/2001 02/2002-12/2002 02/2003-08/2003 10/2003-11/2003 04/2008-05/2008 04/2009-06/2009 03/2010-07/2010 03/2011-06/2011 04/2015-06/2015 03/2016-06/2016 04/2017-06/2017","12/1986-01/1987 12/1989-02/1990 08/1990-10/1990 11/1990-03/1991 08/1991-09/1991 12/1991-01/1992 12/1994-01/1995 12/1997-02/1998 08/1998-09/1998 11/1998-02/1999 07/1999-10/1999 11/1999-02/2000 08/2000-09/2000 01/2001-01/2001 08/2004-09/2004 11/2004-02/2005 07/2005-10/2005 11/2005-03/2006 08/2006-09/2006 12/2006-02/2007 09/2007-09/2007 12/2007-01/2008 12/2011-01/2012 08/2012-09/2012 12/2012-02/2013 09/2013-09/2013 12/2013-01/2014 12/2015-01/2016 09/2018-09/2018 11/2018-03/2019 06/2019-06/2020",1036.86,0.5775,0.6476,"1999/00-2019/20","Annual","1999 2000","2019 2020","1 2 3 4 5 6 7 8 9 10 11 12","regular",-4.626214738,-4.758453462,0.009791753,0.008578867,-0.132238724,-0.001212887,-12.38681838,0.141981219,0.352045628,"PO4|Bottom|Annual"
"CB3.2","po4","Surface",39.16369,-76.30631,"CB3MH","MD","Chesapeake Bay Mainstem (CB3MH)","Orthophosphorus [mg/L]",578,"1985-2020",1985,2020,36,"NA-NA",0.001730104,0.994809689,0.003460208,0,0.000375,"lnpo4",TRUE,2,"2-Non-linear trend with Seas+Int",FALSE,NA,NA,NA,"",TRUE,NA,NA,NA,NA,1,"cyear","","04/1988-12/1988 03/1989-06/1989 05/1992-06/1992 07/1992-07/1992 10/1992-11/1992 04/1993-05/1993 05/2001-06/2001 10/2001-01/2002 02/2002-01/2003 02/2003-07/2003 05/2007-06/2007 05/2008-05/2008 04/2011-07/2011 10/2011-11/2011 04/2012-06/2012 05/2014-06/2014 11/2014-11/2014 04/2015-06/2015","12/1986-01/1987 01/1990-02/1990 07/1990-10/1990 11/1990-04/1991 01/1994-02/1994 08/1994-09/1994 12/1994-03/1995 01/2000-03/2000 08/2000-08/2000 01/2004-03/2004 07/2004-04/2005 07/2005-10/2005 01/2006-02/2006 09/2009-09/2009 01/2010-02/2010 02/2016-02/2016 08/2016-10/2016 12/2016-03/2017 08/2017-09/2017 09/2019-09/2019 12/2019-03/2020",1141.7,0.6305,0.4725,"1999/00-2019/20","Annual","1999 2000","2019 2020","1 2 3 4 5 6 7 8 9 10 11 12","regular",-4.913010539,-4.93402234,0.007350327,0.007197494,-0.021011801,-0.000152832,-2.079259115,0.159206924,0.895047752,"PO4|Surface|Annual"
