"station","layer","latitude","longitude","cbSeg92","state","stationGrpName","parmName","gamName","gamOption","periodName","seasonName","gamDiff.bl.mn.obs","gamDiff.cr.mn.obs","gamDiff.abs.chg.obs","gamDiff.pct.chg","gamDiff.chg.pval","dep","mapLayer"
"CB1.1","Surface",39.54794,-76.08481,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Chlorophyll a (Corrected) [ug/L]","Non-Linear Trend",2,"2014/15-2022/23","Annual",5.807627999,3.269231939,-2.53839606,-43.7079658,0.000333868,"chla","CHLA|Surface|Annual"
"CB1.1","Surface",39.54794,-76.08481,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Chlorophyll a (Corrected) [ug/L]","Non-Linear Trend",2,"2014/15-2022/23","Mar-May",7.83606352,4.428418252,-3.407645268,-43.48669787,0.000743937,"chla","CHLA|Surface|Mar-May"
"CB1.1","Surface",39.54794,-76.08481,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Chlorophyll a (Corrected) [ug/L]","Non-Linear Trend",2,"2014/15-2022/23","Jul-Sep",9.970288959,5.328595981,-4.641692977,-46.55525027,0.000244857,"chla","CHLA|Surface|Jul-Sep"
"CB1.1","Bottom",39.54794,-76.08481,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Chlorophyll a (Corrected) [ug/L]","Non-Linear Trend",2,"2014/15-2022/23","Annual",4.626041911,2.65239423,-1.973647681,-42.66385214,0.000292515,"chla","CHLA|Bottom|Annual"
"CB1.1","Bottom",39.54794,-76.08481,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Chlorophyll a (Corrected) [ug/L]","Non-Linear Trend",2,"2014/15-2022/23","Mar-May",7.08491371,4.139693067,-2.945220643,-41.57031071,0.000487073,"chla","CHLA|Bottom|Mar-May"
"CB1.1","Bottom",39.54794,-76.08481,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Chlorophyll a (Corrected) [ug/L]","Non-Linear Trend",2,"2014/15-2022/23","Jul-Sep",6.319128741,3.384543398,-2.934585343,-46.43971445,0.000106527,"chla","CHLA|Bottom|Jul-Sep"
"CB2.1","Surface",39.44149,-76.02599,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Chlorophyll a (Corrected) [ug/L]","Non-Linear Trend",2,"2014/15-2022/23","Annual",7.065555902,4.99722058,-2.068335322,-29.27349738,0.061312001,"chla","CHLA|Surface|Annual"
"CB2.1","Surface",39.44149,-76.02599,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Chlorophyll a (Corrected) [ug/L]","Non-Linear Trend",2,"2014/15-2022/23","Mar-May",8.631544171,5.610884322,-3.020659848,-34.99559046,0.024263952,"chla","CHLA|Surface|Mar-May"
"CB2.1","Surface",39.44149,-76.02599,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Chlorophyll a (Corrected) [ug/L]","Non-Linear Trend",2,"2014/15-2022/23","Jul-Sep",11.7817602,8.660554466,-3.121205735,-26.49184571,0.119881122,"chla","CHLA|Surface|Jul-Sep"
"CB2.1","Bottom",39.44149,-76.02599,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Chlorophyll a (Corrected) [ug/L]","Non-Linear Trend",2,"2014/15-2022/23","Annual",5.164278018,4.418479882,-0.745798136,-14.44147921,0.384044849,"chla","CHLA|Bottom|Annual"
"CB2.1","Bottom",39.44149,-76.02599,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Chlorophyll a (Corrected) [ug/L]","Non-Linear Trend",2,"2014/15-2022/23","Mar-May",8.035120973,5.931717014,-2.103403959,-26.17762653,0.119471617,"chla","CHLA|Bottom|Mar-May"
"CB2.1","Bottom",39.44149,-76.02599,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Chlorophyll a (Corrected) [ug/L]","Non-Linear Trend",2,"2014/15-2022/23","Jul-Sep",7.017253899,6.500558523,-0.516695376,-7.363213347,0.696725387,"chla","CHLA|Bottom|Jul-Sep"
"CB2.2","Surface",39.34873,-76.17579,"CB2OH","MD","Chesapeake Bay Mainstem (CB2OH)","Chlorophyll a (Corrected) [ug/L]","Non-Linear Trend",2,"2014/15-2022/23","Annual",5.575945365,5.609700692,0.033755327,0.605374062,0.969067443,"chla","CHLA|Surface|Annual"
"CB2.2","Surface",39.34873,-76.17579,"CB2OH","MD","Chesapeake Bay Mainstem (CB2OH)","Chlorophyll a (Corrected) [ug/L]","Non-Linear Trend",2,"2014/15-2022/23","Mar-May",7.263637741,6.781932688,-0.481705053,-6.631732892,0.705609235,"chla","CHLA|Surface|Mar-May"
"CB2.2","Surface",39.34873,-76.17579,"CB2OH","MD","Chesapeake Bay Mainstem (CB2OH)","Chlorophyll a (Corrected) [ug/L]","Non-Linear Trend",2,"2014/15-2022/23","Jul-Sep",7.511564897,8.621458765,1.109893868,14.77580083,0.440438721,"chla","CHLA|Surface|Jul-Sep"
"CB2.2","Bottom",39.34873,-76.17579,"CB2OH","MD","Chesapeake Bay Mainstem (CB2OH)","Chlorophyll a (Corrected) [ug/L]","Non-Linear Trend",2,"2014/15-2022/23","Annual",5.115748277,4.22520862,-0.890539657,-17.40780838,0.231529565,"chla","CHLA|Bottom|Annual"
"CB2.2","Bottom",39.34873,-76.17579,"CB2OH","MD","Chesapeake Bay Mainstem (CB2OH)","Chlorophyll a (Corrected) [ug/L]","Non-Linear Trend",2,"2014/15-2022/23","Mar-May",7.936631633,5.996652611,-1.939979022,-24.44335471,0.206369046,"chla","CHLA|Bottom|Mar-May"
"CB2.2","Bottom",39.34873,-76.17579,"CB2OH","MD","Chesapeake Bay Mainstem (CB2OH)","Chlorophyll a (Corrected) [ug/L]","Non-Linear Trend",2,"2014/15-2022/23","Jul-Sep",4.85115754,5.53960177,0.68844423,14.19133936,0.495177956,"chla","CHLA|Bottom|Jul-Sep"
"CB3.1","Surface",39.2495,-76.2405,"CB2OH","MD","Chesapeake Bay Mainstem (CB2OH)","Chlorophyll a (Corrected) [ug/L]","Non-Linear Trend",2,"2014/15-2022/23","Annual",9.067134459,8.088199022,-0.978935437,-10.79652499,0.545829628,"chla","CHLA|Surface|Annual"
"CB3.1","Surface",39.2495,-76.2405,"CB2OH","MD","Chesapeake Bay Mainstem (CB2OH)","Chlorophyll a (Corrected) [ug/L]","Non-Linear Trend",2,"2014/15-2022/23","Mar-May",11.01038916,9.23052452,-1.77986464,-16.16531999,0.408942604,"chla","CHLA|Surface|Mar-May"
