"station","layer","latitude","longitude","cbSeg92","state","stationGrpName","parmName","gamName","gamOption","periodName","seasonName","gamDiff.bl.mn.obs","gamDiff.cr.mn.obs","gamDiff.abs.chg.obs","gamDiff.pct.chg","gamDiff.chg.pval","dep","mapLayer"
"CB1.1","Surface",39.54794,-76.08481,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Chlorophyll a (Corrected) [ug/L]","Non-Linear Trend",2,"2012/13-2020/21","Annual",5.739079662,3.233625251,-2.505454411,-43.65603125,0.000404343,"chla","CHLA|Surface|Annual"
"CB1.1","Surface",39.54794,-76.08481,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Chlorophyll a (Corrected) [ug/L]","Non-Linear Trend",2,"2012/13-2020/21","Mar-May",7.641357456,4.545021835,-3.096335622,-40.52075354,0.002836101,"chla","CHLA|Surface|Mar-May"
"CB1.1","Surface",39.54794,-76.08481,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Chlorophyll a (Corrected) [ug/L]","Non-Linear Trend",2,"2012/13-2020/21","Jul-Sep",10.03094126,5.298814973,-4.732126288,-47.17529656,0.000220216,"chla","CHLA|Surface|Jul-Sep"
"CB2.1","Surface",39.44149,-76.02599,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Chlorophyll a (Corrected) [ug/L]","Non-Linear Trend",2,"2012/13-2020/21","Annual",7.993317272,3.23075418,-4.762563092,-59.58180978,2.13e-06,"chla","CHLA|Surface|Annual"
"CB2.1","Surface",39.44149,-76.02599,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Chlorophyll a (Corrected) [ug/L]","Non-Linear Trend",2,"2012/13-2020/21","Mar-May",10.18719338,3.515769917,-6.671423464,-65.48833633,1.65e-06,"chla","CHLA|Surface|Mar-May"
"CB2.1","Surface",39.44149,-76.02599,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Chlorophyll a (Corrected) [ug/L]","Non-Linear Trend",2,"2012/13-2020/21","Jul-Sep",13.21177452,6.463646044,-6.748128475,-51.07662461,0.00111549,"chla","CHLA|Surface|Jul-Sep"
"CB2.2","Surface",39.34873,-76.17579,"CB2OH","MD","Chesapeake Bay Mainstem (CB2OH)","Chlorophyll a (Corrected) [ug/L]","Non-Linear Trend",2,"2012/13-2020/21","Annual",5.689765228,3.167657914,-2.522107314,-44.32708931,0.000199594,"chla","CHLA|Surface|Annual"
"CB2.2","Surface",39.34873,-76.17579,"CB2OH","MD","Chesapeake Bay Mainstem (CB2OH)","Chlorophyll a (Corrected) [ug/L]","Non-Linear Trend",2,"2012/13-2020/21","Mar-May",7.555869442,3.936495329,-3.619374112,-47.90149089,0.001375276,"chla","CHLA|Surface|Mar-May"
"CB2.2","Surface",39.34873,-76.17579,"CB2OH","MD","Chesapeake Bay Mainstem (CB2OH)","Chlorophyll a (Corrected) [ug/L]","Non-Linear Trend",2,"2012/13-2020/21","Jul-Sep",7.352944173,5.154937862,-2.19800631,-29.89287364,0.061321063,"chla","CHLA|Surface|Jul-Sep"
"CB3.1","Surface",39.2495,-76.2405,"CB2OH","MD","Chesapeake Bay Mainstem (CB2OH)","Chlorophyll a (Corrected) [ug/L]","Non-Linear Trend",2,"2012/13-2020/21","Annual",8.309847289,5.838931309,-2.47091598,-29.73479408,0.069483936,"chla","CHLA|Surface|Annual"
